www.youtube.com
breadth
2
None
         22477727 function calls (22476141 primitive calls) in 49.900 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 <string>:12(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:105(reset)
      597    0.001    0.000    0.001    0.000 __init__.py:108(can_be_empty_element)
       35    0.000    0.000    0.000    0.000 __init__.py:1159(getLogger)
       39    0.000    0.000    0.000    0.000 __init__.py:1284(debug)
        2    0.000    0.000    0.000    0.000 __init__.py:129(deprecated_argument)
      582    0.003    0.000    0.006    0.000 __init__.py:152(_replace_cdata_list_attribute_values)
       40    0.000    0.000    0.000    0.000 __init__.py:1528(getEffectiveLevel)
       39    0.000    0.000    0.000    0.000 __init__.py:1542(isEnabledFor)
       35    0.000    0.000    0.000    0.000 __init__.py:1836(getLogger)
       35    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
       35    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.001    0.001   49.005   49.005 __init__.py:24(detect)
      597    0.000    0.000    0.000    0.000 __init__.py:267(set_up_substitutions)
        1    0.000    0.000    0.076    0.076 __init__.py:285(_feed)
        1    0.000    0.000    0.000    0.000 __init__.py:295(reset)
      596    0.001    0.000    0.001    0.000 __init__.py:319(popTag)
      597    0.002    0.000    0.002    0.000 __init__.py:328(pushTag)
     1750    0.001    0.000    0.003    0.000 __init__.py:337(endData)
      116    0.000    0.000    0.001    0.000 __init__.py:367(object_was_parsed)
        1    0.000    0.000    0.000    0.000 __init__.py:42(lookup)
      576    0.002    0.000    0.004    0.000 __init__.py:424(_popToTag)
      596    0.003    0.000    0.018    0.000 __init__.py:447(handle_starttag)
      576    0.001    0.000    0.005    0.000 __init__.py:474(handle_endtag)
      808    0.000    0.000    0.001    0.000 __init__.py:479(handle_data)
        1    0.000    0.000   49.083   49.083 __init__.py:87(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:135(__init__)
       21    0.000    0.000    0.000    0.000 _collections.py:150(__getitem__)
       18    0.000    0.000    0.000    0.000 _collections.py:180(__iter__)
       17    0.000    0.000    0.000    0.000 _collections.py:208(add)
        1    0.000    0.000    0.000    0.000 _collections.py:224(extend)
        2    0.000    0.000    0.000    0.000 _collections.py:43(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:50(__getitem__)
        1    0.000    0.000    0.000    0.000 _collections.py:57(__setitem__)
        2    0.000    0.000    0.002    0.001 _collections.py:86(clear)
       16    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
       22    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:701(__len__)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:719(__iter__)
      200    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
        5    0.000    0.000    0.000    0.000 _internal_utils.py:14(to_native_string)
        1    0.000    0.000    0.000    0.000 _internal_utils.py:30(unicode_is_ascii)
        1    0.000    0.000    0.000    0.000 _lxml.py:142(close)
      596    0.006    0.000    0.027    0.000 _lxml.py:145(start)
      596    0.000    0.000    0.000    0.000 _lxml.py:185(_prefix_for_namespace)
      576    0.002    0.000    0.010    0.000 _lxml.py:194(end)
      808    0.001    0.000    0.001    0.000 _lxml.py:215(data)
        1    0.000    0.000    0.000    0.000 _lxml.py:218(doctype)
        1    0.000    0.000    0.000    0.000 _lxml.py:243(default_parser)
        1    0.038    0.038    0.076    0.076 _lxml.py:246(feed)
        1    0.000    0.000    0.000    0.000 _lxml.py:57(parser_for)
        1    0.000    0.000    0.000    0.000 _lxml.py:66(__init__)
     2572    0.001    0.000    0.001    0.000 _lxml.py:76(_getNsTag)
        2    0.000    0.000   49.006   24.503 _lxml.py:84(prepare_markup)
       25    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       25    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
       41    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       30    0.000    0.000    0.000    0.000 abc.py:180(__instancecheck__)
        2    0.000    0.000    0.000    0.000 adapters.py:110(__init__)
        2    0.000    0.000    0.000    0.000 adapters.py:144(init_poolmanager)
        1    0.000    0.000    0.000    0.000 adapters.py:201(cert_verify)
        1    0.000    0.000    0.001    0.001 adapters.py:253(build_response)
        1    0.000    0.000    0.000    0.000 adapters.py:290(get_connection)
        2    0.000    0.000    0.002    0.001 adapters.py:313(close)
        1    0.000    0.000    0.000    0.000 adapters.py:323(request_url)
        1    0.000    0.000    0.000    0.000 adapters.py:352(add_headers)
        1    0.000    0.000    0.584    0.584 adapters.py:388(send)
        2    0.000    0.000    0.000    0.000 adapters.py:55(__init__)
        1    0.000    0.000    0.810    0.810 api.py:16(request)
        1    0.000    0.000    0.810    0.810 api.py:61(get)
        1    0.000    0.000    0.000    0.000 big5prober.py:35(__init__)
        1    0.000    0.000    0.000    0.000 big5prober.py:41(charset_name)
        1    0.000    0.000    0.000    0.000 big5prober.py:45(language)
        2    0.000    0.000    0.000    0.000 calendar.py:598(timegm)
        3    0.000    0.000    0.000    0.000 cgi.py:301(_parseparam)
        1    0.000    0.000    0.000    0.000 cgi.py:313(parse_header)
        1    0.000    0.000    0.000    0.000 chardistribution.py:114(__init__)
        3    0.000    0.000    0.000    0.000 chardistribution.py:120(get_order)
        2    0.000    0.000    0.000    0.000 chardistribution.py:133(__init__)
        6    0.000    0.000    0.000    0.000 chardistribution.py:139(get_order)
        1    0.000    0.000    0.000    0.000 chardistribution.py:152(__init__)
       23    0.000    0.000    0.000    0.000 chardistribution.py:158(get_order)
        1    0.000    0.000    0.000    0.000 chardistribution.py:171(__init__)
        9    0.000    0.000    0.000    0.000 chardistribution.py:177(get_order)
        1    0.000    0.000    0.000    0.000 chardistribution.py:193(__init__)
        1    0.000    0.000    0.000    0.000 chardistribution.py:218(__init__)
        3    0.000    0.000    0.000    0.000 chardistribution.py:224(get_order)
        7    0.000    0.000    0.000    0.000 chardistribution.py:46(__init__)
       21    0.000    0.000    0.000    0.000 chardistribution.py:61(reset)
  5157812    1.887    0.000    1.887    0.000 chardistribution.py:70(feed)
        2    0.000    0.000    0.000    0.000 charsetgroupprober.py:33(__init__)
        2    0.000    0.000    0.000    0.000 charsetgroupprober.py:39(reset)
        2    0.000    0.000    0.000    0.000 charsetgroupprober.py:49(charset_name)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:57(language)
        2    0.000    0.000   46.935   23.468 charsetgroupprober.py:65(feed)
        3    0.000    0.000    0.000    0.000 charsetgroupprober.py:85(get_confidence)
        1    1.680    1.680    1.808    1.808 charsetprober.py:103(filter_with_english_letters)
       26    0.000    0.000    0.000    0.000 charsetprober.py:39(__init__)
       47    0.000    0.000    0.000    0.000 charsetprober.py:44(reset)
       52    0.000    0.000    0.000    0.000 charsetprober.py:54(state)
        2    0.000    0.000    0.000    0.000 charsetprober.py:58(get_confidence)
        1    0.000    0.000    0.231    0.231 charsetprober.py:61(filter_high_byte_only)
       13    0.003    0.000    3.293    0.253 charsetprober.py:66(filter_international_words)
        1    0.000    0.000    0.000    0.000 client.py:1017(_send_output)
        1    0.000    0.000    0.000    0.000 client.py:1071(putrequest)
        5    0.000    0.000    0.000    0.000 client.py:1195(putheader)
        1    0.000    0.000    0.000    0.000 client.py:1223(endheaders)
        1    0.000    0.000    0.000    0.000 client.py:1236(request)
        1    0.000    0.000    0.000    0.000 client.py:1241(_send_request)
        5    0.000    0.000    0.000    0.000 client.py:1243(<genexpr>)
